Community	Plantsp	Fruit_availability	Fruit_color	Fruit_diam_mm	Birdsp	Bird_phylo	Fruit_diet	Bill_width_mm	Body_mass	Visits
Moyobamba	Schefflera_morototoni	3916.111111	brown	6.6	Aburria_aburri	Aburria_aburri	100	9.3	1405.08	1
Argentina	Aristotelia_chilensis	2149	black	5	Anairetes_parulus	Anairetes_parulus	0	2.4	6.2	4
Argentina	Azara_microphylla	2565.142857	brown	5.62	Anairetes_parulus	Anairetes_parulus	0	2.4	6.2	7
Argentina	Maytenus_boaria	551.7142857	red	4.55	Anairetes_parulus	Anairetes_parulus	0	2.4	6.2	92
Argentina	Prunus_cerasus	629.8571429	red	17.93	Anairetes_parulus	Anairetes_parulus	0	2.4	6.2	3
Argentina	Schinus_patagonicus	64.71428571	black	7	Anairetes_parulus	Anairetes_parulus	0	2.4	6.2	1
Argentina	Maytenus_boaria	551.7142857	red	4.55	Aphrastura_spinicauda	Aphrastura_spinicauda	0	2.6	11.5	9
Argentina	Prunus_cerasus	629.8571429	red	17.93	Aphrastura_spinicauda	Aphrastura_spinicauda	0	2.6	11.5	1
Oxapampa	Miconia_glabra	5730.666667	brown	4.747	Atlapetes_tricolor	Atlapetes_tricolor	30	5.9	36.5	2
Oxapampa	Miconia_grandifolia	227.5	black	3.516	Atlapetes_tricolor	Atlapetes_tricolor	30	5.9	36.5	1
Oxapampa	Miconia_sp.pepa	1944.166667	grey	1.961	Atlapetes_tricolor	Atlapetes_tricolor	30	5.9	36.5	4
Oxapampa	Aceituna_tucaneta	6.5	black	6.943636364	Aulacorhynchus_coeruleicinctis	Aulacorhynchus_coeruleicinctis	50	21.6	208	1
Oxapampa	Cecropia_sp.biscoshito	78	green	68.904	Aulacorhynchus_coeruleicinctis	Aulacorhynchus_coeruleicinctis	50	21.6	208	1
Oxapampa	Cecropia_sp.peluda	144	green	200.8	Aulacorhynchus_coeruleicinctis	Aulacorhynchus_coeruleicinctis	50	21.6	208	5
Oxapampa	Cissus_sp.	47.66666667	black	7.989	Aulacorhynchus_coeruleicinctis	Aulacorhynchus_coeruleicinctis	50	21.6	208	1
Oxapampa	Hedyosmum_translucidum	498.3333333	black	13.00090909	Aulacorhynchus_coeruleicinctis	Aulacorhynchus_coeruleicinctis	50	21.6	208	2
Moyobamba	Cecropia_sp.	115	green	134.852	Cacicus_cela	Cacicus_cela	60	7.9	85.45	2
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Cacicus_cela	Cacicus_cela	60	7.9	85.45	1
Moyobamba	Tetrorchidium_sp.	1522.444444	red	1	Cacicus_cela	Cacicus_cela	60	7.9	85.45	1
Brazil	Miconia_albicans	4594.142857	green	5.409	Camptostoma_obsoletum	Camptostoma_obsoletum	30	2.8	8.8	6
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Camptostoma_obsoletum	Camptostoma_obsoletum	30	3.2	8.1	1
Brazil	Schefflera_sp.tuberosa	2021.3	black	7.191	Camptostoma_obsoletum	Camptostoma_obsoletum	30	2.8	8.8	1
Moyobamba	Cecropia_sp.	115	green	134.852	Capito_auratus	Capito_auratus	80	7	57.37	43
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Capito_auratus	Capito_auratus	80	7	57.37	3
Moyobamba	Miconia_bicolor	642.4444444	black	4.85	Capito_auratus	Capito_auratus	80	7	57.37	2
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Capito_auratus	Capito_auratus	80	7	57.37	7
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Capito_auratus	Capito_auratus	80	7	57.37	3
Moyobamba	Schefflera_morototoni	3916.111111	brown	6.6	Capito_auratus	Capito_auratus	80	7	57.37	2
Moyobamba	Tetrorchidium_sp.	1522.444444	red	1	Capito_auratus	Capito_auratus	80	7	57.37	1
Oxapampa	Cecropia_sp.peluda	144	green	200.8	Chamaepetes_goudotii	Chamaepetes_goudotii	80	8.8	727.67	2
Moyobamba	Cecropia_sp.	115	green	134.852	Chlorophanes_spiza	Chlorophanes_spiza	60	4.5	19	10
Moyobamba	Miconia_bicolor	642.4444444	black	4.85	Chlorophanes_spiza	Chlorophanes_spiza	60	4.5	19	1
Moyobamba	Tetrorchidium_sp.	1522.444444	red	1	Chlorophanes_spiza	Chlorophanes_spiza	60	4.5	19	1
Oxapampa	Antidaphne_sp.	1213	brown	4.001	Chlorophonia_cyanea	Chlorophonia_cyanea	90	4.3	14	2
Moyobamba	Cecropia_sp.	115	green	134.852	Chlorophonia_cyanea	Chlorophonia_cyanea	90	4.3	14	4
Oxapampa	Cecropia_sp.peluda	144	green	200.8	Chlorophonia_cyanea	Chlorophonia_cyanea	90	4.3	14	2
Oxapampa	Miconia_sp.pepa	1944.166667	grey	1.961	Chlorophonia_cyanea	Chlorophonia_cyanea	90	4.3	14	5
Puerto_Rico	Bunchosia_glandulosa	450	red	10	Coereba_flaveola	Coereba_flaveola	0	3.6	10	6
Puerto_Rico	Casearia_decandra	31.2	yellow	7.98	Coereba_flaveola	Coereba_flaveola	0	3.6	10	1
Puerto_Rico	Casearia_guianensis	39.4	orange	1	Coereba_flaveola	Coereba_flaveola	0	3.6	10	24
Puerto_Rico	Cecropia_schreberiana	925	green	75	Coereba_flaveola	Coereba_flaveola	0	3.6	10	19
Puerto_Rico	Clusia_rosea	2.5	red	1	Coereba_flaveola	Coereba_flaveola	0	3.6	10	21
Puerto_Rico	Cordia_polycephala	433	red	5.14	Coereba_flaveola	Coereba_flaveola	0	3.6	10	1
Puerto_Rico	Sideroxylon_salicifolium	176.25	black	4.8	Coereba_flaveola	Coereba_flaveola	0	3.6	10	1
Puerto_Rico	Tournefortia_hirsutissima	169.1666667	white	4.59	Coereba_flaveola	Coereba_flaveola	0	3.6	10	11
Puerto_Rico	Trema_micrantha	831.25	red	2.47	Coereba_flaveola	Coereba_flaveola	0	3.6	10	6
Argentina	Maytenus_boaria	551.7142857	red	4.55	Colorhamphus_parvirostris	Colorhamphus_parvirostris	0	3.4	10.6	40
Brazil	Byrsonima_coccolobifolia	1267.761905	black	6.39125	Conirostrum_speciosum	Conirostrum_speciosum	10	4.3	10	1
Brazil	Miconia_albicans	4594.142857	green	5.409	Conirostrum_speciosum	Conirostrum_speciosum	10	4.3	10	7
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Contopus_virens	Contopus_virens	10	6.3	13.9	2
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Contopus_virens	Contopus_virens	10	6.3	13.9	1
Brazil	Miconia_albicans	4594.142857	green	5.409	Coryphospingus_cucullatus	Coryphospingus_cucullatus	50	4.6	14.5	11
Brazil	Schefflera_sp.tuberosa	2021.3	black	7.191	Coryphospingus_cucullatus	Coryphospingus_cucullatus	50	4.6	14.5	2
Argentina	Rubus_idaeus	3976.833333	red	16.13	Curaeus_curaeus	Curaeus_curaeus	0	6.8	83.7	1
